IP,MAC,Role,Purdue Level,Vendor,Device Type,Asset Type,Protocols,Service Ports,Connections,Attack Priority,Auth Observed
10.50.1.10,02:00:00:00:00:01,HMI/SCADA,2,Unknown,HMI Terminal,local,Modbus TCP,,0,5,false
10.50.1.21,02:00:00:00:00:02,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.22,02:00:00:00:00:03,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.23,02:00:00:00:00:04,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.24,02:00:00:00:00:05,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.25,02:00:00:00:00:06,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.26,02:00:00:00:00:07,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.27,02:00:00:00:00:08,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.28,02:00:00:00:00:09,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.29,02:00:00:00:00:0a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.30,02:00:00:00:00:0b,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.31,02:00:00:00:00:0c,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.32,02:00:00:00:00:0d,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.33,02:00:00:00:00:0e,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.34,02:00:00:00:00:0f,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.35,02:00:00:00:00:10,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.36,02:00:00:00:00:11,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.37,02:00:00:00:00:12,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.38,02:00:00:00:00:13,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.39,02:00:00:00:00:14,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.40,02:00:00:00:00:15,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.41,02:00:00:00:00:16,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.42,02:00:00:00:00:17,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.43,02:00:00:00:00:18,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.44,02:00:00:00:00:19,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.45,02:00:00:00:00:1a,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.46,02:00:00:00:00:1b,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.47,02:00:00:00:00:1c,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.48,02:00:00:00:00:1d,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.49,02:00:00:00:00:1e,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP,502/tcp(Modbus TCP),0,15,false
10.50.1.50,02:00:00:00:00:1f,RTU/PLC,1,Unknown,RTU/PLC,local,Modbus TCP; Iec61850; S7comm,102/tcp(S7comm (ISO-TSAP)); 502/tcp(Modbus TCP),0,17,false
