Address,Packets,Bytes,Total Packets,Percent Filtered,Tx Packets,Tx Bytes,Rx Packets,Rx Bytes,Country,City,Latitude,Longitude,AS Number,AS Organization
"10.10.0.53",196,16328,196,100,6,1368,190,14960,"","","","","",""
"10.10.0.123",240,21600,240,100,0,0,240,21600,"","","","","",""
"10.20.1.5",184,9936,184,100,0,0,184,9936,"","","","","",""
"10.20.1.60",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.61",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.62",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.63",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.64",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.65",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.66",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.67",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.68",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.69",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.70",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.71",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.72",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.73",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.1.74",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.10",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.11",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.12",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.13",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.14",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.15",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.16",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.17",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.18",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.19",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.20",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.21",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.22",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.23",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.24",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.25",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.26",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.27",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.28",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.29",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.30",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.31",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.32",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.33",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.34",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.35",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.36",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.37",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.38",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.39",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.40",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.3.41",6,370,6,100,6,370,0,0,"","","","","",""
"10.20.4.66",303,18443,303,100,275,15529,28,2914,"","","","","",""
"10.30.1.5",6,408,6,100,2,124,4,284,"","","","","",""
"10.40.1.20",194,21707,194,100,10,11771,184,9936,"","","","","",""
"10.40.2.9",240,14160,240,100,0,0,240,14160,"","","","","",""
"10.50.1.10",5775,354585,5775,100,3465,200970,2310,153615,"","","","","",""
"10.50.1.21",93,5736,93,100,36,2445,57,3291,"","","","","",""
"10.50.1.22",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.23",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.24",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.25",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.26",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.27",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.28",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.29",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.30",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.31",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.32",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.33",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.34",101,6193,101,100,38,2547,63,3646,"","","","","",""
"10.50.1.35",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.36",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.37",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.38",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.39",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.40",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.41",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.42",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.43",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.44",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.45",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.46",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.47",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.48",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.49",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.50",96,5923,96,100,36,2415,60,3508,"","","","","",""
"10.50.1.51",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.52",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.53",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.54",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.55",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.56",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.57",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.58",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.59",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.60",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.61",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.62",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.63",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.64",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.65",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.66",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.67",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.68",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.69",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.70",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.71",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.72",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.73",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.74",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.75",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.76",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.77",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.78",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.79",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.80",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.81",78,4767,78,100,30,1995,48,2772,"","","","","",""
"10.50.1.82",78,4767,78,100,30,1995,48,2772,"","","","","",""
